KID,IBAN,Kontostand,Kontoart,
1,CH8500206206145564458,1156,1
2,CH7700206206556889125,500154,1
3,CH0600206206669447554,65875,1
4,CH5300206206665665454,13658,1
5,CH9800206206998996996,5211,1
6,CH8300206206654522136,1002,1
7,CH3700206206123232236,201,1
8,CH3400206206899855612,1523,1
1,CH4200206206104401148,60989,1
2,CH4400206206134431148,61489863,1
3,CH2700206206533431448,439865,1
6,CH7900206206834443143,8665,1
9,CH7100206206556988852,2627886,1
1,CH8500206206225669871,6105049,2
10,CH2800206206889259537,1100289766,2
11,CH3900206206573246822,2147483647,2
12,CH0800206206112698752,622295168,2
